Address,Postcode,KT1/KT2,Sale_price,Bedrooms,House_type,Freehold/leasehold,Res_new/old,Stationdist_miles,Sale_date,Sale_year,Sale_month,Latitude,Longitude,Easting,Northing,Ward,Introduced,Altitude
"83, Tudor Drive",KT2 5NP,KT2,790000,4,Semi-Detached,Freehold,Residential,1.1,13-Oct-15,2015,10,51.429035,-0.301799,518156,171371,Tudor,01-1980,10
"13, Lancaster Gardens",KT2 5NQ,KT2,408758,2,Flat,Leasehold,Residential,1.0,31-Jan-18,2018,1,51.427521,-0.30466,517961,171198,Tudor,01-1980,12
"29, Lancaster Gardens",KT2 5NQ,KT2,930000,4,Semi-Detached,Freehold,Residential,1.0,19-Dec-14,2014,12,51.427521,-0.30466,517961,171198,Tudor,01-1980,12
"19, Lancaster Gardens",KT2 5NQ,KT2,840000,3,Semi-Detached,Freehold,Residential,1.0,11-Nov-14,2014,11,51.427521,-0.30466,517961,171198,Tudor,01-1980,12
"11a, Lancaster Gardens",KT2 5NQ,KT2,386000,2,Flat,Leasehold,Residential,1.0,21-Sep-18,2018,9,51.427521,-0.30466,517961,171198,Tudor,01-1980,12
"113, Tudor Drive",KT2 5NR,KT2,750000,3,Semi-Detached,Freehold,Residential,1.0,15-Apr-15,2015,4,51.427809,-0.299759,518301,171238,Tudor,01-1980,11
"111, Tudor Drive",KT2 5NR,KT2,846000,4,Semi-Detached,Freehold,Residential,1.0,23-Jun-17,2017,6,51.427809,-0.299759,518301,171238,Tudor,01-1980,11
"109, Tudor Drive",KT2 5NR,KT2,705000,3,Semi-Detached,Freehold,Residential,1.0,07-Aug-15,2015,8,51.427809,-0.299759,518301,171238,Tudor,01-1980,11
"11, Anne Boleyns Walk",KT2 5NS,KT2,880000,4,Semi-Detached,Freehold,Residential,1.0,23-Jan-15,2015,1,51.427816,-0.298967,518356,171240,Tudor,01-1980,10
"6, Anne Boleyns Walk",KT2 5NS,KT2,709000,3,Semi-Detached,Freehold,Residential,1.0,24-Jul-14,2014,7,51.427816,-0.298967,518356,171240,Tudor,01-1980,10
"167, Tudor Drive",KT2 5NT,KT2,795000,3,Semi-Detached,Freehold,Residential,1.0,16-Dec-16,2016,12,51.426976,-0.298063,518421,171148,Tudor,01-1980,11
"191, Tudor Drive",KT2 5NU,KT2,443200,2,Flat,Leasehold,Residential,1.0,13-Oct-17,2017,10,51.426346,-0.296202,518552,171081,Tudor,01-1980,10
"207, Tudor Drive",KT2 5NU,KT2,598000,3,Semi-Detached,Freehold,Residential,1.0,09-Apr-15,2015,4,51.426346,-0.296202,518552,171081,Tudor,01-1980,10
"193, Tudor Drive",KT2 5NU,KT2,375000,2,Flat,Leasehold,Residential,1.1,13-Jul-15,2015,7,51.426346,-0.296202,518552,171081,Tudor,01-1980,10
"33, Tudor Drive",KT2 5NW,KT2,970000,5,Semi-Detached,Freehold,Residential,1.1,15-Sep-17,2017,9,51.429930999999996,-0.304039,517998,171467,Tudor,01-1980,10
"25, Garth Road",KT2 5NY,KT2,730000,3,Semi-Detached,Freehold,Residential,1.0,11-Jul-17,2017,7,51.426806,-0.296315,518543,171132,Tudor,01-1980,11
"17, Garth Road",KT2 5NY,KT2,829950,4,Semi-Detached,Freehold,Residential,1.0,30-Nov-16,2016,11,51.426806,-0.296315,518543,171132,Tudor,01-1980,11
"14, Garth Road",KT2 5NY,KT2,960000,4,Semi-Detached,Freehold,Residential,1.0,14-Jul-17,2017,7,51.426806,-0.296315,518543,171132,Tudor,01-1980,11
"16, Garth Road",KT2 5NY,KT2,672500,3,Semi-Detached,Freehold,Residential,1.0,17-Nov-15,2015,11,51.426806,-0.296315,518543,171132,Tudor,01-1980,11
"7, Garth Road",KT2 5NY,KT2,700000,2,Semi-Detached,Freehold,Residential,1.0,02-Sep-16,2016,9,51.426806,-0.296315,518543,171132,Tudor,01-1980,11
"2, Garth Road",KT2 5NY,KT2,830000,4,Semi-Detached,Freehold,Residential,1.0,21-Jun-16,2016,6,51.426806,-0.296315,518543,171132,Tudor,01-1980,11
"2, Garth Road",KT2 5NY,KT2,830000,4,Semi-Detached,Freehold,Residential,1.0,21-Jun-16,2016,6,51.426806,-0.296315,518543,171132,Tudor,01-1980,11
"21, Garth Road",KT2 5NY,KT2,695000,3,Semi-Detached,Freehold,Residential,1.0,05-Nov-14,2014,11,51.426806,-0.296315,518543,171132,Tudor,01-1980,11
"3, Garth Close",KT2 5PA,KT2,815000,5,Semi-Detached,Freehold,Residential,1.0,20-Aug-15,2015,8,51.427336,-0.295648,518588,171192,Tudor,01-1980,10
"1, Garth Close",KT2 5PA,KT2,890000,3,Semi-Detached,Freehold,Residential,1.0,11-Sep-15,2015,9,51.427336,-0.295648,518588,171192,Tudor,01-1980,10
"7, Garth Close",KT2 5PA,KT2,805000,3,Semi-Detached,Freehold,Residential,1.0,17-Apr-15,2015,4,51.427336,-0.295648,518588,171192,Tudor,01-1980,10
"255, Tudor Drive",KT2 5PF,KT2,340000,2,Flat,Leasehold,Residential,1.0,22-Feb-18,2018,2,51.425515999999995,-0.29291100000000003,518783,170994,Tudor,01-1980,10
"247, Tudor Drive",KT2 5PF,KT2,368000,3,Flat,Leasehold,Residential,1.0,19-Jun-15,2015,6,51.425515999999995,-0.29291100000000003,518783,170994,Tudor,01-1980,10
"291, Tudor Drive",KT2 5PF,KT2,810000,4,Semi-Detached,Freehold,Residential,1.0,06-May-16,2016,5,51.425515999999995,-0.29291100000000003,518783,170994,Tudor,01-1980,10
"243, Tudor Drive",KT2 5PF,KT2,319950,2,Flat,Leasehold,Residential,1.0,04-Aug-14,2014,8,51.425515999999995,-0.29291100000000003,518783,170994,Tudor,01-1980,10
"321, Tudor Drive",KT2 5PF,KT2,850000,4,Semi-Detached,Freehold,Residential,1.0,06-Nov-17,2017,11,51.425515999999995,-0.29291100000000003,518783,170994,Tudor,01-1980,10
"295, Tudor Drive",KT2 5PF,KT2,790000,4,Semi-Detached,Freehold,Residential,1.0,26-Aug-16,2016,8,51.425515999999995,-0.29291100000000003,518783,170994,Tudor,01-1980,10
"5, Stable Close",KT2 5PJ,KT2,635000,2,Semi-Detached,Freehold,Residential,0.8,05-Aug-16,2016,8,51.423818,-0.291147,518910,170808,Tudor,11-2004,11
"6, Stable Close",KT2 5PJ,KT2,745000,3,Terraced,Freehold,Residential,0.8,28-Apr-15,2015,4,51.423818,-0.291147,518910,170808,Tudor,11-2004,11
"320, Richmond Road",KT2 5PP,KT2,735000,3,Semi-Detached,Freehold,Residential,0.9,04-Jul-18,2018,7,51.426359000000005,-0.305149,517930,171068,Tudor,01-1980,11
"322, Richmond Road",KT2 5PP,KT2,600000,3,Semi-Detached,Freehold,Residential,0.9,11-Nov-16,2016,11,51.426359000000005,-0.305149,517930,171068,Tudor,01-1980,11
"332, Richmond Road",KT2 5PP,KT2,770000,3,Semi-Detached,Freehold,Residential,0.9,30-Nov-18,2018,11,51.426359000000005,-0.305149,517930,171068,Tudor,01-1980,11
"342, Richmond Road",KT2 5PR,KT2,650000,3,Semi-Detached,Freehold,Residential,1.0,20-Feb-15,2015,2,51.427797,-0.30633299999999997,517844,171226,Tudor,01-1980,11
"344a, Richmond Road",KT2 5PR,KT2,415000,2,Flat,Leasehold,Residential,1.0,07-Apr-17,2017,4,51.427797,-0.30633299999999997,517844,171226,Tudor,01-1980,11
"Flat 2, Fernhill Court, Richmond Road",KT2 5PT,KT2,400000,2,Flat,Leasehold,Residential,1.0,29-Jun-18,2018,6,51.427597,-0.306217,517853,171204,Tudor,01-1980,11
"Flat 7, Fernhill Court, Richmond Road",KT2 5PT,KT2,315000,2,Flat,Leasehold,Residential,1.0,25-Sep-15,2015,9,51.427597,-0.306217,517853,171204,Tudor,01-1980,11
